FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y
97.0000,4.0000,1513.0972,955.7070,1204.2112,222.6866,1872.9592,67.3425,1570.2607,63.9635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98.0000,6.0000,1511.9089,1047.4353,1206.3363,315.6096,1877.2480,156.0782,1570.9379,155.1217,771.2202,97.4182,939.2057,54.8636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99.0000,6.0000,1510.8192,1137.9966,1208.5932,406.8680,1881.6240,244.1244,1571.4273,245.2866,772.7655,193.5005,938.1018,144.5471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100.0000,6.0000,1509.7342,1229.8358,1210.7679,500.1367,1571.8839,336.8594,1885.7070,333.6585,774.3765,290.5398,937.2955,235.5723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101.0000,6.0000,1508.4710,1320.4252,1212.9393,592.6728,1572.3657,427.2276,1889.9635,421.9930,776.1310,387.1055,936.1249,325.5626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102.0000,6.0000,1507.2842,1411.7662,1215.3104,686.0967,1572.8175,518.9298,1893.9720,511.0964,778.0905,484.6962,935.2574,416.6943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103.0000,6.0000,1506.2056,1501.9236,1217.6889,777.9699,1573.2947,609.7201,1898.0412,599.1418,780.2178,581.0383,934.2682,506.7081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104.0000,6.0000,1504.8247,1593.2224,1219.8884,871.3478,1573.6724,701.7463,1902.0828,688.4365,782.1041,678.6861,933.2831,598.2443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105.0000,5.0000,1222.1964,963.1292,1574.1180,792.1932,1906.0747,776.3484,783.9369,775.0193,932.3326,688.2895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106.0000,5.0000,1224.5844,1055.5396,1574.2266,883.4531,785.6523,872.1338,1909.9133,865.1009,931.4036,779.1359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107.0000,5.0000,1226.9525,1146.8599,1574.4186,973.1905,787.3830,968.2148,1913.6342,952.5654,930.3713,868.8387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108.0000,5.0000,1229.1842,1239.1786,789.1053,1065.3282,1574.5196,1064.1314,1917.1952,1041.1351,929.1796,959.6200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
